Latitude,Longitude,Distance_from_center,IncGeo_BoroughName_encoded,Cluster
51.58990022,-0.165452578,9617.985825696316,1,3
51.40846304,-0.025394053,12917.823892749948,4,3
51.62182337,-0.096021582,12790.34560269673,9,3
51.65989441,-0.052523515,17564.223493383204,9,1
51.54992406,0.009877103,10232.24989410045,24,3
51.50488294,-0.057583856,4438.0142493142985,29,4
51.48479831,-0.155357945,3493.4467865374772,19,0
51.41946818,-0.189544095,10922.284085540667,23,3
51.60146764,0.164267496,22372.441790631612,15,2
51.59963119,0.039794359,15129.739675543451,25,1
51.52083634,0.024279306,10207.712469669223,24,3
51.51315507,-0.320195926,13815.796479250832,8,1
51.54196861,0.006022235,9613.99512642348,24,3
51.4706483,-0.216100982,7779.039805519461,12,4
51.46095242,-0.216579721,8430.322415147324,31,4
51.58653699,-0.299850772,15157.772165004211,3,1
51.56144981,0.089779862,15810.023614466965,25,1
51.59014678,-0.086865363,9452.867850974855,13,3
51.54731831,0.009228625,10062.912439649775,24,3
51.5423025,0.047036756,12292.90763774157,24,3
51.5891308,-0.222346399,11431.122918253157,1,3
51.44287096,-0.424553802,22271.636497656466,17,2
51.61211229,0.103545884,19427.938334930703,25,2
51.42781366,0.020653318,13294.295960125197,22,3
51.56939091,-0.0956294,7065.365193198984,11,4
51.53083936,-0.10170787,2889.2294347002967,18,0
51.53829168,0.079764146,14357.71859137973,0,1
51.53713178,0.011721618,9787.721409684402,24,3
51.5245868,0.108966764,16090.82223499483,0,1
51.53762725,0.155916884,19521.300728775208,0,2
51.54133945,0.161399446,19968.33628644114,0,2
51.48857826,0.065559267,13153.466659508169,10,3
51.5761644,0.066800041,15096.759349828588,25,1
51.4706483,-0.216100982,7779.039805519461,12,4
51.53882511,-0.08404201,4301.728847324698,11,0
51.55211684,-0.451390504,23421.344112619903,16,2
51.52519014,-0.024297108,7002.605742357292,29,4
51.58846794,-0.251273017,12707.490734601854,1,3
51.52220508,0.107386382,15953.728990538391,0,1
51.59603712,-0.037902273,11381.331569630836,30,3
51.59238817,-0.069995326,10046.992279371872,13,3
51.54437763,0.013425655,10191.647628037412,24,3
51.54922815,-0.044747352,7024.112682388279,11,4
51.47984742,0.09035399,15027.416932538643,10,1
51.52721754,-0.166877774,3820.4915673799956,32,0
51.48732224,-0.019568915,7428.0213282549585,29,4
51.48344899,0.067790388,13411.177912373914,10,3
51.52823881,-0.129597695,2330.7729837498086,5,0
51.46958213,0.064211394,13573.002042048889,10,1
51.55496849,-0.080853895,5938.3552863121595,11,4
51.50765713,-0.142214466,1450.1829411581036,32,0
51.55088223,-0.455961363,23703.74156210578,16,2
51.5245096,-0.085738885,3082.5151215923775,18,0
51.5528144,-0.248977748,10166.87507361559,3,3
51.59465731,-0.409533832,22192.964866552644,16,2
51.53025796,0.037932493,11328.424594500848,24,3
51.5811959,-0.237017445,11437.132648092467,1,3
51.56893906,-0.007249407,10425.172719755135,30,3
51.53025127,-0.024193267,7183.825291129943,29,4
51.54581308,-0.10343534,4393.016846532158,18,4
51.54846687,-0.400544832,19890.78535070058,16,2
51.5181967,-0.079690406,3107.4280602703043,6,0
51.58117377,-0.348085607,17712.652247094382,14,1
51.49183525,-0.098777056,2378.4661527805224,27,0
51.58198866,-0.073567898,8879.311865720078,13,3
51.45591811,0.01481184,11085.600201971689,10,3
51.58147905,-0.073748204,8822.06034613316,13,3
51.58217229,-0.018174845,10926.862372411115,30,3
51.42573877,-0.045809565,10541.46079434989,22,3
51.64412295,-0.060758926,15721.07407230281,9,1
51.52439017,-0.082284066,3270.3375809129384,11,0
51.51995665,-0.078982093,3229.21123383655,29,0
51.56161353,-0.088523924,6390.585712887274,11,4
51.48139455,-0.073431271,4446.845714115908,27,4
51.41496218,-0.282697131,15253.54265533961,20,1
51.52118868,-0.12397664,1486.1771824606376,5,0
51.58386981,-0.072030523,9113.250687182306,13,3
51.46621485,-0.490797038,26074.022198592662,16,2
51.61087428,0.042768181,16143.41119955229,25,1
51.53371454,-0.414081638,20516.891255204766,16,2
51.49285299,-0.219772263,7037.433419694529,12,4
51.51008133,-0.436720166,21893.346721685903,16,2
51.51951486,0.046000628,11685.382171065095,24,3
51.45766061,-0.195965181,7625.043802184552,31,4
51.36900829,-0.192339261,16222.593875886267,28,1
51.53374485,-0.450659691,23033.331957116356,16,2
51.490244,-0.280590204,11230.946018934832,17,3
51.60101668,-0.195125696,11550.269859561804,1,3
51.43881792,0.134970258,19394.357691098437,2,2
51.57777129,0.059800845,14772.134062640029,25,1
51.56578188,-0.135733152,6512.360317877804,18,4
51.49408272,-0.173423055,3931.1271487391414,19,0
51.46404201,-0.181763091,6438.226287811514,31,4
51.52451965,-0.167447482,3694.678650017281,32,0
51.51580165,0.007999932,9019.391756428908,24,3
51.53371454,-0.414081638,20516.891255204766,16,2
51.44752032,0.118768415,17981.161743949644,2,1
51.57040354,-0.124418466,6952.655346273889,18,4
51.50466655,-0.057549835,4442.282618193892,29,4
51.41504659,-0.193227782,11476.578863977633,23,3
51.5730972,-0.423822557,22199.215207325033,16,2
51.50741905,-0.130061743,608.9380082504571,32,0
51.48450517,-0.122717675,2607.6070583937344,21,0
51.5117337,-0.175627942,3792.7852743917524,32,0
51.62500455,-0.058584881,13730.670757386979,9,1
51.55099456,-0.109667431,4858.151087841825,18,4
51.57822344,0.178230976,22201.753652305317,15,2
51.48675806,0.09415602,15146.23416298577,10,1
51.49439522,-0.224221282,7300.3629054867615,12,4
51.56389989,-0.017670429,9511.874923853444,30,3
51.46435148,0.107498159,16615.26805360354,2,1
51.5240705,-0.060673662,4576.514650159808,29,4
51.56012233,-0.317023234,14765.604643471035,3,1
51.54601666,-0.276367621,11561.78419561501,3,3
51.51108817,-0.041380346,5560.601790670541,29,4
51.55300909,-0.166345558,5907.623585567414,5,4
51.57086273,-0.059809391,8198.774314007842,11,4
51.53235639,0.192364018,21939.282243639846,15,2
51.48304046,-0.105451242,2980.1610902091415,27,0
51.54448723,-0.135724038,4187.339441457373,5,0
51.47349708,-0.188400053,6030.295173873921,12,4
51.42656998,-0.010746582,11871.847949898796,22,3
51.53138511,-0.170588715,4300.446140472184,32,0
51.61450012,-0.01712897,13883.040322974646,30,1
51.47547708,-0.047342457,6279.22472884541,22,4
51.46284462,-0.113931808,5041.5323940173075,21,4
51.47805817,0.116900806,16873.3335236767,10,1
51.37810894,-0.124788815,14443.018448870425,7,1
51.58556249,-0.016583983,11285.18785595842,30,3
51.47805817,0.116900806,16873.3335236767,10,1
51.62214196,-0.135461298,12742.52200695334,1,3
51.46329906,-0.239767108,9607.610102033279,31,3
51.43123601,-0.010141152,11509.00633903608,22,3
51.55555267,-0.119100346,5299.593000443111,18,4
51.38553535,-0.129759655,13627.510610841686,28,1
51.48414166,0.003553894,9066.076036791801,10,3
51.53478449,-0.077276084,4274.16050096497,11,0
51.52186148,-0.134587235,1802.2751578931768,5,0
51.54492484,-0.040143439,6976.295279716576,11,4
51.44961551,0.088209526,15935.1949588963,2,1
51.48255486,-0.053852454,5469.889557139245,27,4
51.52392329,-0.009993836,7929.23729855011,29,4
51.49988434,-0.232796652,7789.888605560502,12,4
51.5477306,-0.220081698,8157.906450169233,3,4
51.56434782,-0.119127086,6277.567016938356,18,4
51.37080589,-0.102932716,15306.962854439416,7,1
51.38931831,-0.070775864,13654.050774229854,7,1
51.4006552,-0.074424909,12370.291477762401,7,3
51.46432161,-0.088532685,5359.08231129465,27,4
51.51575854,-0.175957086,3890.4974643478804,32,0
51.51724803,-0.017275584,7296.222881439518,29,4
51.45171687,0.171037172,21249.217601899207,2,2
51.46256432,-0.116073992,5059.65041779337,21,4
51.60888498,-0.267994111,15150.31403182682,1,1
51.54664301,-0.087001999,4921.073933456486,18,4
51.46394034,0.13271719,18310.010742070957,2,1
51.41590034,-0.046876213,11470.195638856587,4,3
51.51412919,-0.075681867,3242.520414291407,6,0
51.49638831,-0.069773436,3802.5325121069604,27,0
51.51929464,-0.155953053,2715.418680039897,32,0
51.36722,-0.090898043,15794.665440794015,7,1
51.46800509,0.063377084,13574.600726614091,10,1
51.57768821,0.2816198,29008.508352964825,15,2
51.55271341,-0.16583816,5861.110501345101,5,4
51.49764843,-0.053526158,4844.086702450703,27,4
51.46810058,-0.034296106,7494.155476443565,22,4
51.5889523,0.218516088,25235.449017073533,15,2
51.50346103,-0.024157014,6763.933235358312,29,4
51.49814891,-0.161431902,2989.2121466061153,19,0
51.4662104,-0.49045166,26050.510861403105,16,2
51.44681009,-0.411927194,21299.351356531224,17,2
51.50253306,-0.073764335,3356.0487764347395,27,0
51.54456062,-0.10550655,4219.909176862368,18,0
51.43063356,-0.041658939,10225.89490762257,22,3
51.5125302,-0.139883137,1385.8634650400077,32,0
51.62767633,-0.002944079,15646.134926937786,30,1
51.46382043,-0.113099773,4939.912932635581,21,4
51.53892474,-0.143349072,3771.164453606584,5,0
51.57822362,-0.121960654,7819.388174985794,13,4
51.56303008,0.206837768,23578.00327535122,15,2
51.40900665,-0.228177948,13274.664799434295,23,3
51.47827939,-0.091347974,3900.4005048341946,27,0
51.5137173,-0.11846112,673.7181589222661,32,0
51.52009793,0.189541342,21619.738143636212,15,2
51.55642713,-0.009181167,9467.999030362604,30,3
51.4862255,-0.160341655,3628.6455588150075,19,0
51.36909393,-0.133532945,15467.09204859967,28,1
51.58843652,-0.252183704,12749.908726126434,1,3
51.4709774,-0.487040375,25726.11206518807,16,2
51.59076023,0.082029565,16847.038932937954,25,1
51.49592285,-0.143426594,2034.188894546446,32,0
51.59382898,-0.290511428,15131.429303093457,14,1
51.52435089,-0.166430745,3624.2240630815563,32,0
51.56047645,0.151124695,19785.65460814929,0,2
51.46210779,-0.097277195,5363.965906191273,21,4
51.62369922,-0.339158283,19846.649257881432,14,2
51.46432161,-0.088532685,5359.08231129465,27,4
51.53529887,-0.263031413,10293.897779127465,3,3
51.49658224,-0.146454075,2153.231318443834,32,0
51.57986621,-0.337005192,16965.047779925528,14,1
51.49362508,-0.10156939,2101.0055512913987,27,0
51.58695227,-0.336370984,17311.85682337916,14,1
51.49027511,-0.190587526,5194.206060149404,19,4
51.48974382,-0.170830788,3988.1505062344663,19,0
51.46984129,-0.121231427,4237.010330780888,21,0
51.51437801,0.055369348,12286.041715473497,24,3
51.54018974,-0.132395489,3669.6632683082103,5,0
51.46365231,-0.109363614,4995.0470497002225,21,4
51.53813918,-0.476507816,24874.190746552045,16,2
51.48591697,-0.119346846,2452.638588515967,21,0
51.48019855,-0.411243551,20365.263308779435,17,2
51.58512853,-0.070923526,9271.856707040872,13,3
51.57363943,-0.070038629,8129.333256092701,11,4
51.53916172,-0.144118126,3817.078294309676,5,0
51.36129723,-0.190315829,17001.550951344147,28,1
51.50437671,-0.113601027,666.358218983085,21,0
51.53589694,-0.398000641,19449.481646054977,8,2
51.42996888,-0.402067117,21344.938406772217,17,2
51.46379522,-0.114885985,4929.897090604404,21,4
51.54134889,0.084850029,14782.373886192947,0,1
51.51495133,-0.081397986,2879.4936219328238,6,0
51.51887187,-0.15651787,2728.8883096658833,32,0
