IncidentNumber,DateOfCall,CalYear,TimeOfCall,HourOfCall,IncidentGroup,StopCodeDescription,SpecialServiceType,PropertyCategory,PropertyType,AddressQualifier,Postcode_full,Postcode_district,UPRN,USRN,IncGeo_BoroughCode,IncGeo_BoroughName,ProperCase,IncGeo_WardCode,IncGeo_WardName,IncGeo_WardNameNew,Easting_m,Northing_m,Easting_rounded,Northing_rounded,Latitude,Longitude,FRS,IncidentStationGround,FirstPumpArriving_AttendanceTime,FirstPumpArriving_DeployedFromStation,SecondPumpArriving_AttendanceTime,SecondPumpArriving_DeployedFromStation,NumStationsWithPumpsAttending,NumPumpsAttending,PumpCount,PumpMinutesRounded,Notional Cost (£),NumCalls,Year,Month,DayOfWeek,DayOfYear,Quarter,WeekOfYear,IsWeekend,IsNight,IsRushHour,IsPeakSeason,Distance_from_center,HasSecondPump,IncidentGroup_encoded,PropertyCategory_encoded,PropertyType_encoded,IncGeo_BoroughName_encoded,IncGeo_WardName_encoded,IncidentStationGround_encoded,FirstPumpArriving_DeployedFromStation_encoded,SpecialServiceType_encoded,Postcode_district_encoded
000008-01012018,2018-01-01,2018.0,00:04:25,0.0,False Alarm,AFA,Standard,Non Residential,Mosque ,Within same building,N2 8AY,N2,200220110.0,20013420.0,E09000003,BARNET,Barnet,E05013636,East Finchley,East Finchley,527184.0,189488.0,527150.0,189450.0,51.58990022,-0.165452578,London,Finchley,348.0,Finchley,,None,1.0,1.0,1.0,60.0,328.0,1.0,2018.0,1.0,0.0,1.0,1.0,1,0,1,0,0,9671.297974188023,0,0,3,93,1,185,29,29,18,114
000009-01012018,2018-01-01,2018.0,00:04:30,0.0,False Alarm,AFA,Standard,Non Residential,Pub/wine bar/bar ,Correct incident location,BR3 1ED,BR3,100023000000.0,20301747.0,E09000006,BROMLEY,Bromley,E05013987,Beckenham Town & Copers Cope,Beckenham Town & Copers Cope,537430.0,169565.0,537450.0,169550.0,51.40846304,-0.025394053,London,Beckenham,144.0,Beckenham,,None,1.0,1.0,1.0,60.0,328.0,1.0,2018.0,1.0,0.0,1.0,1.0,1,0,1,0,0,12841.123065398528,0,0,3,145,4,37,5,5,18,2
000010-01012018,2018-01-01,2018.0,00:04:34,0.0,Fire,Secondary Fire,Standard,Outdoor Structure,Common external bin storage area,On land associated with building,N13 5SX,N13,207086892.0,20704500.0,E09000010,ENFIELD,Enfield,E05013683,Highfield,Highfield,531901.0,193161.0,531950.0,193150.0,51.62182337,-0.096021582,London,Edmonton,232.0,Southgate,,None,1.0,1.0,1.0,60.0,328.0,1.0,2018.0,1.0,0.0,1.0,1.0,1,0,1,0,0,12785.374067556048,0,1,6,30,9,307,23,81,18,106
000011-01012018,2018-01-01,2018.0,00:04:58,0.0,Special Service,Special Service,RTC,Road Vehicle,Multiple Vehicles ,In street outside gazetteer location,EN1 4LD,EN1,207153957.0,20702569.0,E09000010,ENFIELD,Enfield,E05013677,Carterhatch,Carterhatch,534799.0,197474.0,534750.0,197450.0,51.65989441,-0.052523515,London,Enfield,22.0,Enfield,,None,1.0,1.0,1.0,60.0,328.0,1.0,2018.0,1.0,0.0,1.0,1.0,1,0,1,0,0,17541.41690051107,0,2,8,97,9,114,25,25,13,67
000014-01012018,2018-01-01,2018.0,00:07:47,0.0,Fire,Primary Fire,Standard,Road Vehicle,Car ,In street outside gazetteer location,E15 1QY,E15,10023996788.0,22200068.0,E09000025,NEWHAM,Newham,E05013917,Maryland,Maryland,539451.0,185362.0,539450.0,185350.0,51.54992406,0.009877103,London,Stratford,241.0,Stratford,,None,1.0,1.0,1.0,60.0,328.0,6.0,2018.0,1.0,0.0,1.0,1.0,1,0,1,0,0,10123.242641504055,0,1,8,21,24,386,84,84,18,30
000025-01012018,2018-01-01,2018.0,00:13:23,0.0,False Alarm,False alarm - Good intent,Standard,Outdoor,Road surface/pavement ,In street outside gazetteer location,E1W 2RW,E1W,6647815.0,22700978.0,E09000030,TOWER HAMLETS,Tower Hamlets,E05009330,St. Katharine's & Wapping,St. Katharine's & Wapping,534907.0,180227.0,534950.0,180250.0,51.50488294,-0.057583856,London,Shadwell,250.0,Shadwell,,None,1.0,1.0,1.0,60.0,328.0,2.0,2018.0,1.0,0.0,1.0,1.0,1,0,1,0,0,4308.354572740798,0,0,5,162,29,561,76,76,18,34
000026-01012018,2018-01-01,2018.0,00:13:57,0.0,Special Service,Special Service,Other rescue/release of persons,Dwelling,House - single occupancy ,Correct incident location,Unknown,SE9,0.0,20800546.0,E09000011,GREENWICH,Greenwich,E05014077,Eltham Page,Eltham Page,,,542550.0,174750.0,,,London,Eltham,196.0,Eltham,309.0,Lee Green,2.0,2.0,2.0,60.0,328.0,1.0,2018.0,1.0,0.0,1.0,1.0,1,0,1,0,0,,1,2,2,67,10,199,24,24,12,176
000027-01012018,2018-01-01,2018.0,00:15:21,0.0,Special Service,Special Service,Effecting entry/exit,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,Unknown,IG1,0.0,22302963.0,E09000026,REDBRIDGE,Redbridge,E05011247,Loxford,Loxford,,,543750.0,186050.0,,,London,Ilford,443.0,Barking,,None,1.0,1.0,1.0,60.0,328.0,1.0,2018.0,1.0,0.0,1.0,1.0,1,0,1,0,0,,0,2,2,149,25,380,46,2,3,84
000032-01012018,2018-01-01,2018.0,00:16:25,0.0,False Alarm,False alarm - Good intent,Standard,Outdoor,Road surface/pavement ,In street outside gazetteer location,SW3 4LW,SW3,217122790.0,21700196.0,E09000020,KENSINGTON AND CHELSEA,Kensington And chelsea,E05009403,ROYAL HOSPITAL,ROYAL HOSPITAL,528178.0,177818.0,528150.0,177850.0,51.48479831,-0.155357945,London,Chelsea,323.0,Chelsea,,None,1.0,1.0,1.0,60.0,328.0,1.0,2018.0,1.0,0.0,1.0,1.0,1,0,1,0,0,3573.321852505396,0,0,5,162,19,483,11,11,18,204
000033-01012018,2018-01-01,2018.0,00:17:10,0.0,False Alarm,False alarm - Good intent,Standard,Outdoor,Park ,Open land/water - nearest gazetteer location,SW19 1ES,SW19,48081971.0,22103210.0,E09000024,MERTON,Merton,E05013810,Abbey,Abbey,525984.0,170494.0,525950.0,170450.0,51.41946818,-0.189544095,London,Wimbledon,250.0,Wimbledon,,None,1.0,1.0,1.0,60.0,328.0,1.0,2018.0,1.0,0.0,1.0,1.0,1,0,1,0,0,10968.078420276543,0,0,5,129,23,3,99,100,18,193
000035-01012018,2018-01-01,2018.0,00:20:22,0.0,Special Service,Special Service,Flooding,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Within same building,Unknown,SW6,0.0,21000700.0,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013739,Fulham Town,Fulham Town,,,524550.0,176850.0,,,London,Fulham,263.0,Fulham,,None,1.0,1.0,1.0,60.0,328.0,1.0,2018.0,1.0,0.0,1.0,1.0,1,0,1,0,0,,0,2,2,149,12,229,31,31,5,207
000036-01012018,2018-01-01,2018.0,00:22:14,0.0,False Alarm,False alarm - Good intent,Standard,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Within same building,Unknown,BR5,0.0,20300963.0,E09000006,BROMLEY,Bromley,E05014007,St. Paul's Cray,St. Paul's Cray,,,546550.0,169250.0,,,London,Orpington,463.0,Orpington,,None,1.0,1.0,1.0,60.0,328.0,1.0,2018.0,1.0,0.0,1.0,1.0,1,0,1,0,0,,0,0,2,149,4,570,65,65,18,4
000037-01012018,2018-01-01,2018.0,00:23:37,0.0,Fire,Secondary Fire,Standard,Outdoor,Hedge,In street outside gazetteer location,RM5 2RB,RM5,100021000000.0,21300019.0,E09000016,HAVERING,Havering,E05013974,Havering-atte-Bower,Havering-atte-Bower,549985.0,191399.0,549950.0,191350.0,51.60146764,0.164267496,London,Romford,349.0,Romford,,None,1.0,1.0,1.0,60.0,328.0,1.0,2018.0,1.0,0.0,1.0,1.0,1,0,1,0,0,22264.061423834464,0,1,5,63,15,288,74,74,18,144
000039-01012018,2018-01-01,2018.0,00:25:48,0.0,Fire,Secondary Fire,Standard,Outdoor,Tree scrub ,Open land/water - nearest gazetteer location,IG8 7PJ,IG8,10034918672.0,22306217.0,E09000026,REDBRIDGE,Redbridge,E05011238,Churchfields,Churchfields,541371.0,190947.0,541350.0,190950.0,51.59963119,0.039794359,London,Woodford,238.0,Woodford,,None,1.0,1.0,1.0,60.0,328.0,2.0,2018.0,1.0,0.0,1.0,1.0,1,0,1,0,0,15043.012662637326,0,1,5,192,25,137,100,101,18,92
000046-01012018,2018-01-01,2018.0,00:31:59,0.0,Fire,Secondary Fire,Standard,Outdoor Structure,Small refuse/rubbish container,In street outside gazetteer location,E13 8JY,E13,46250611.0,22200883.0,E09000025,NEWHAM,Newham,E05013919,Plaistow South,Plaistow South,540539.0,182155.0,540550.0,182150.0,51.52083634,0.024279306,London,Plaistow,446.0,Plaistow,,None,1.0,1.0,1.0,60.0,328.0,1.0,2018.0,1.0,0.0,1.0,1.0,1,0,1,0,0,10081.674957571302,0,1,6,172,24,465,69,69,18,28
000048-01012018,2018-01-01,2018.0,00:33:31,0.0,Fire,Primary Fire,Standard,Dwelling,House - single occupancy ,Correct incident location,Unknown,NW5,0.0,20400372.0,E09000007,CAMDEN,Camden,E05013663,Kentish Town North,Kentish Town North,,,529150.0,185450.0,,,London,Kentish Town,197.0,Kentish Town,208.0,Kentish Town,1.0,2.0,4.0,345.0,1886.0,2.0,2018.0,1.0,0.0,1.0,1.0,1,0,1,0,0,,1,1,2,67,5,337,49,49,18,131
000049-01012018,2018-01-01,2018.0,00:33:43,0.0,Special Service,Special Service,Effecting entry/exit,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,Unknown,E5,0.0,20900713.0,E09000012,HACKNEY,Hackney,E05009383,SPRINGFIELD,SPRINGFIELD,,,534950.0,186850.0,,,London,Stoke Newington,344.0,Stoke Newington,,None,1.0,1.0,1.0,60.0,328.0,1.0,2018.0,1.0,0.0,1.0,1.0,1,0,1,0,0,,0,2,2,149,11,505,83,83,3,39
000052-01012018,2018-01-01,2018.0,00:39:31,0.0,Fire,Secondary Fire,Standard,Outdoor Structure,Large refuse/rubbish container (eg skip/ paladin),Correct incident location,W13 0NW,W13,12160353.0,20602212.0,E09000009,EALING,Ealing,E05013525,Hanwell Broadway,Hanwell Broadway,516661.0,180696.0,516650.0,180650.0,51.51315507,-0.320195926,London,Ealing,275.0,Ealing,347.0,Acton,3.0,4.0,4.0,60.0,328.0,1.0,2018.0,1.0,0.0,1.0,1.0,1,0,1,0,0,13945.313515051495,1,1,6,77,8,275,20,20,18,241
000053-01012018,2018-01-01,2018.0,00:39:31,0.0,Fire,Secondary Fire,Standard,Outdoor,Loose refuse ,In street outside gazetteer location,E15 4DH,E15,10034510890.0,22201624.0,E09000025,NEWHAM,Newham,E05013924,Stratford,Stratford,539208.0,184470.0,539250.0,184450.0,51.54196861,0.006022235,London,Stratford,231.0,Stratford,,None,1.0,1.0,1.0,60.0,328.0,2.0,2018.0,1.0,0.0,1.0,1.0,1,0,1,0,0,9500.372915150172,0,1,5,86,24,579,84,84,18,30
000054-01012018,2018-01-01,2018.0,00:40:15,0.0,False Alarm,AFA,Standard,Non Residential,Converted office ,Correct incident location,SW6 6EA,SW6,34137879.0,21000122.0,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013744,Palace & Hurlingham,Palace & Hurlingham,523999.0,176140.0,523950.0,176150.0,51.4706483,-0.216100982,London,Fulham,232.0,Fulham,,None,1.0,1.0,1.0,60.0,328.0,1.0,2018.0,1.0,0.0,1.0,1.0,1,0,1,0,0,7882.229713394759,0,0,3,35,12,446,31,31,18,207
000057-01012018,2018-01-01,2018.0,00:41:14,0.0,False Alarm,AFA,Standard,Non Residential,Club/night club ,Correct incident location,SW15 2SH,SW15,121003007.0,22905667.0,E09000032,WANDSWORTH,Wandsworth,E05014011,East Putney,East Putney,523992.0,175061.0,523950.0,175050.0,51.46095242,-0.216579721,London,Wandsworth,171.0,Wandsworth,,None,1.0,1.0,1.0,60.0,328.0,1.0,2018.0,1.0,0.0,1.0,1.0,1,0,1,0,0,8524.618576051746,0,0,3,28,31,189,92,93,18,189
000058-01012018,2018-01-01,2018.0,00:43:10,0.0,Fire,Secondary Fire,Standard,Outdoor,Loose refuse ,On land associated with building,HA3 0XX,HA3,202022110.0,20201823.0,E09000005,BRENT,Brent,E05013502,Kenton,Kenton,517883.0,188889.0,517850.0,188850.0,51.58653699,-0.299850772,London,Stanmore,320.0,Stanmore,,None,1.0,1.0,1.0,60.0,328.0,1.0,2018.0,1.0,0.0,1.0,1.0,1,0,1,0,0,15270.314359344657,0,1,5,86,3,339,82,82,18,77
000060-01012018,2018-01-01,2018.0,00:43:35,0.0,False Alarm,AFA,Standard,Non Residential,Community centre/Hall ,Correct incident location,IG1 1FT,IG1,10034932387.0,22302725.0,E09000026,REDBRIDGE,Redbridge,E05011246,Ilford Town,Ilford Town,544954.0,186799.0,544950.0,186750.0,51.56144981,0.089779862,London,Ilford,96.0,Ilford,517.0,Dagenham,2.0,2.0,2.0,60.0,328.0,1.0,2018.0,1.0,0.0,1.0,1.0,1,0,1,0,0,15695.205040452654,1,0,3,31,25,327,46,46,18,84
000061-01012018,2018-01-01,2018.0,00:44:48,0.0,Fire,Secondary Fire,Standard,Outdoor Structure,Small refuse/rubbish container,In street close to gazetteer location,N17 6PR,N17,10003976840.0,21103200.0,E09000014,HARINGEY,Haringey,E05013603,West Green,West Green,532627.0,189655.0,532650.0,189650.0,51.59014678,-0.086865363,London,Tottenham,316.0,Tottenham,,None,1.0,1.0,1.0,60.0,328.0,1.0,2018.0,1.0,0.0,1.0,1.0,1,0,1,0,0,9432.900233954779,0,1,6,172,13,658,88,88,18,110
000062-01012018,2018-01-01,2018.0,00:45:40,0.0,Fire,Secondary Fire,Standard,Outdoor,Cycle path/public footpath/bridleway ,In street close to gazetteer location,E15 1HQ,E15,46078489.0,22200107.0,E09000025,NEWHAM,Newham,E05013917,Maryland,Maryland,539414.0,185071.0,539450.0,185050.0,51.54731831,0.009228625,London,Stratford,489.0,Leytonstone,,None,1.0,1.0,1.0,60.0,328.0,1.0,2018.0,1.0,0.0,1.0,1.0,1,0,1,0,0,9952.272629696732,0,1,5,37,24,386,84,55,18,30
000064-01012018,2018-01-01,2018.0,00:51:35,0.0,Fire,Secondary Fire,Standard,Outdoor Structure,Small refuse/rubbish container,In street close to gazetteer location,E12 6SR,E12,46082002.0,22201236.0,E09000025,NEWHAM,Newham,E05013921,Plashet,Plashet,542051.0,184586.0,542050.0,184550.0,51.5423025,0.047036756,London,East Ham,322.0,East Ham,,None,1.0,1.0,1.0,60.0,328.0,1.0,2018.0,1.0,0.0,1.0,1.0,1,0,1,0,0,12174.15991286259,0,1,6,172,24,467,22,22,18,27
000066-01012018,2018-01-01,2018.0,00:52:31,0.0,False Alarm,False alarm - Good intent,Standard,Outdoor,Road surface/pavement ,In street outside gazetteer location,NW4 4DD,NW4,200074458.0,20027180.0,E09000003,BARNET,Barnet,E05013643,Hendon,Hendon,523245.0,189305.0,523250.0,189350.0,51.5891308,-0.222346399,London,Hendon,224.0,Hendon,,None,1.0,1.0,1.0,60.0,328.0,1.0,2018.0,1.0,0.0,1.0,1.0,1,0,1,0,0,11520.196494458149,0,0,5,162,1,297,39,39,18,130
000067-01012018,2018-01-01,2018.0,00:53:09,0.0,False Alarm,False alarm - Good intent,Standard,Dwelling,House - single occupancy ,Correct incident location,Unknown,E15,0.0,22201500.0,E09000025,NEWHAM,Newham,E05013906,Canning Town North,Canning Town North,,,539150.0,182650.0,,,London,Plaistow,241.0,Stratford,,None,2.0,2.0,2.0,60.0,328.0,1.0,2018.0,1.0,0.0,1.0,1.0,1,0,1,0,0,,0,0,2,67,24,107,69,84,18,30
000070-01012018,2018-01-01,2018.0,01:01:06,1.0,Fire,Secondary Fire,Standard,Outdoor Structure,Small refuse/rubbish container,On land associated with building,TW13 4TN,TW13,200004000000.0,21590175.0,E09000018,HOUNSLOW,Hounslow,E05013614,Feltham West,Feltham West,509588.0,172719.0,509550.0,172750.0,51.44287096,-0.424553802,London,Feltham,133.0,Feltham,,None,1.0,1.0,1.0,60.0,328.0,1.0,2018.0,1.0,0.0,1.0,1.0,1,0,1,0,0,22389.958357288535,0,1,6,172,17,216,28,28,18,216
000071-01012018,2018-01-01,2018.0,01:04:18,1.0,False Alarm,False alarm - Malicious,Standard,Dwelling,House - single occupancy ,Correct incident location,Unknown,CR4,0.0,22100819.0,E09000024,MERTON,Merton,E05013813,Cricket Green,Cricket Green,,,527350.0,168450.0,,,London,Mitcham,294.0,Mitcham,360.0,Wimbledon,2.0,2.0,2.0,60.0,328.0,1.0,2018.0,1.0,0.0,1.0,1.0,1,0,1,0,0,,1,0,2,67,23,159,58,58,18,10
000072-01012018,2018-01-01,2018.0,01:04:42,1.0,Fire,Secondary Fire,Standard,Outdoor Structure,Large refuse/rubbish container (eg skip/ paladin),In street outside gazetteer location,IG7 4EX,IG7,100022000000.0,22304536.0,E09000026,REDBRIDGE,Redbridge,E05011245,Hainault,Hainault,545746.0,192460.0,545750.0,192450.0,51.61211229,0.103545884,London,Hainault,533.0,Hainault,,None,1.0,1.0,1.0,60.0,328.0,1.0,2018.0,1.0,0.0,1.0,1.0,1,0,1,0,0,19331.909636114462,0,1,6,77,25,265,33,33,18,91
000073-01012018,2018-01-01,2018.0,01:04:51,1.0,False Alarm,False alarm - Good intent,Standard,Outdoor Structure,Small refuse/rubbish container,In street outside gazetteer location,BR1 5DR,BR1,100022000000.0,22003472.0,E09000023,LEWISHAM,Lewisham,E05013720,Downham,Downham,540573.0,171804.0,540550.0,171850.0,51.42781366,0.020653318,London,Bromley,528.0,Bromley,,None,1.0,1.0,1.0,60.0,328.0,1.0,2018.0,1.0,0.0,1.0,1.0,1,0,1,0,0,13190.487273240955,0,0,6,172,22,176,10,10,18,0
000074-01012018,2018-01-01,2018.0,01:05:12,1.0,Fire,Secondary Fire,Standard,Outdoor Structure,Common external bin storage area,On land associated with building,N4 2PZ,N4,100023000000.0,20900814.0,E09000012,HACKNEY,Hackney,E05009387,WOODBERRY DOWN,WOODBERRY DOWN,532080.0,187331.0,532050.0,187350.0,51.56939091,-0.0956294,London,Holloway,365.0,Stoke Newington,,None,1.0,1.0,1.0,60.0,328.0,1.0,2018.0,1.0,0.0,1.0,1.0,1,0,1,0,0,7045.754803600136,0,1,6,30,11,632,42,83,18,119
000075-01012018,2018-01-01,2018.0,01:06:43,1.0,Special Service,Special Service,RTC,Road Vehicle,Multiple Vehicles ,In street outside gazetteer location,EC1V 1LJ,EC1V,10008979975.0,21606240.0,E09000019,ISLINGTON,Islington,E05013711,St. Peter's & Canalside,St. Peter's & Canalside,531770.0,183033.0,531750.0,183050.0,51.53083936,-0.10170787,London,Islington,307.0,Shoreditch,,None,2.0,2.0,2.0,60.0,328.0,1.0,2018.0,1.0,0.0,1.0,1.0,1,0,1,0,0,2841.656911147453,0,2,8,97,18,572,47,77,13,48
000076-01012018,2018-01-01,2018.0,01:07:12,1.0,False Alarm,AFA,Standard,Non Residential,Takeaway/ fast food ,Correct incident location,IG11 8ED,IG11,100060470.0,19900727.0,E09000002,BARKING AND DAGENHAM,Barking And dagenham,E05014066,Northbury,Northbury,544333.0,184204.0,544350.0,184250.0,51.53829168,0.079764146,London,Barking,328.0,Barking,,None,1.0,1.0,1.0,60.0,328.0,1.0,2018.0,1.0,0.0,1.0,1.0,1,0,1,0,0,14235.21777932847,0,0,3,180,0,425,2,2,18,85
000077-01012018,2018-01-01,2018.0,01:08:16,1.0,Fire,Secondary Fire,Standard,Outdoor,Loose refuse ,In street remote from gazetteer location,E15 3QG,E15,10012836146.0,22201518.0,E09000025,NEWHAM,Newham,E05013927,West Ham,West Ham,539618.0,183943.0,539650.0,183950.0,51.53713178,0.011721618,London,Stratford,160.0,Stratford,,None,1.0,1.0,1.0,60.0,328.0,1.0,2018.0,1.0,0.0,1.0,1.0,1,0,1,0,0,9670.173184323,0,1,5,86,24,659,84,84,18,30
000078-01012018,2018-01-01,2018.0,01:08:20,1.0,Fire,Primary Fire,Standard,Non Residential,Recycling plant,On land associated with building,IG11 0JD,IG11,100091527.0,19900486.0,E09000002,BARKING AND DAGENHAM,Barking And dagenham,E05014055,Barking Riverside,Barking Riverside,546402.0,182738.0,546450.0,182750.0,51.5245868,0.108966764,London,Barking,445.0,Barking,,None,1.0,1.0,18.0,3399.0,18581.0,7.0,2018.0,1.0,0.0,1.0,1.0,1,0,1,0,0,15964.039878441274,0,1,3,156,0,26,2,2,18,85
000079-01012018,2018-01-01,2018.0,01:09:43,1.0,Fire,Secondary Fire,Standard,Outdoor Structure,Small refuse/rubbish container,Open land/water - nearest gazetteer location,RM10 9SD,RM10,100061574.0,19900748.0,E09000002,BARKING AND DAGENHAM,Barking And dagenham,E05014070,Village,Village,549616.0,184283.0,549650.0,184250.0,51.53762725,0.155916884,London,Dagenham,357.0,Dagenham,,None,1.0,1.0,1.0,60.0,328.0,1.0,2018.0,1.0,0.0,1.0,1.0,1,0,1,0,0,19396.20864538524,0,1,6,172,0,629,16,16,18,137
000081-01012018,2018-01-01,2018.0,01:11:19,1.0,Fire,Secondary Fire,Standard,Outdoor Structure,Common external bin storage area,On land associated with building,RM10 8TE,RM10,100042908.0,19900500.0,E09000002,BARKING AND DAGENHAM,Barking And dagenham,E05014070,Village,Village,549984.0,184707.0,549950.0,184750.0,51.54133945,0.161399446,London,Dagenham,711.0,Wennington,735.0,Ilford,2.0,2.0,2.0,62.0,339.0,1.0,2018.0,1.0,0.0,1.0,1.0,1,0,1,0,0,19843.852163324205,1,1,6,30,0,629,16,95,18,137
000084-01012018,2018-01-01,2018.0,01:15:04,1.0,False Alarm,AFA,Standard,Non Residential,Large supermarket ,Correct incident location,SE18 6JR,SE18,10010239284.0,20802128.0,E09000011,GREENWICH,Greenwich,E05014092,Woolwich Arsenal,Woolwich Arsenal,543504.0,178648.0,543550.0,178650.0,51.48857826,0.065559267,London,Plumstead,272.0,Plumstead,,None,1.0,1.0,1.0,60.0,328.0,1.0,2018.0,1.0,0.0,1.0,1.0,1,0,1,0,0,13024.098174832801,0,0,3,78,10,688,70,70,18,158
000085-01012018,2018-01-01,2018.0,01:16:44,1.0,Fire,Secondary Fire,Standard,Outdoor Structure,Large refuse/rubbish container (eg skip/ paladin),In street close to gazetteer location,IG2 6JD,IG2,10023770326.0,22302865.0,E09000026,REDBRIDGE,Redbridge,E05011241,Cranbrook,Cranbrook,543315.0,188390.0,543350.0,188350.0,51.5761644,0.066800041,London,Ilford,369.0,Leytonstone,,None,1.0,1.0,1.0,60.0,328.0,1.0,2018.0,1.0,0.0,1.0,1.0,1,0,1,0,0,14991.565589892762,0,1,6,77,25,156,46,55,18,86
000086-01012018,2018-01-01,2018.0,01:16:52,1.0,Special Service,Special Service,Effecting entry/exit,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,Unknown,DA17,0.0,20101880.0,E09000004,BEXLEY,Bexley,E05011218,Belvedere,Belvedere,,,549750.0,179750.0,,,London,Erith,306.0,Erith,,None,1.0,1.0,1.0,60.0,328.0,1.0,2018.0,1.0,0.0,1.0,1.0,1,0,1,0,0,,0,2,2,148,2,46,26,26,3,18
000087-01012018,2018-01-01,2018.0,01:18:33,1.0,False Alarm,AFA,Standard,Non Residential,Converted office ,Correct incident location,SW6 6EA,SW6,34137879.0,21000122.0,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013744,Palace & Hurlingham,Palace & Hurlingham,523999.0,176140.0,523950.0,176150.0,51.4706483,-0.216100982,London,Fulham,266.0,Fulham,,None,1.0,1.0,1.0,60.0,328.0,1.0,2018.0,1.0,0.0,1.0,1.0,1,0,1,0,0,7882.229713394759,0,0,3,35,12,446,31,31,18,207
000088-01012018,2018-01-01,2018.0,01:18:42,1.0,Fire,Secondary Fire,Standard,Outdoor,Loose refuse ,In street outside gazetteer location,N1 5TP,N1,10008287876.0,20950061.0,E09000012,HACKNEY,Hackney,E05009371,DE BEAUVOIR,DE BEAUVOIR,532972.0,183953.0,532950.0,183950.0,51.53882511,-0.08404201,London,Islington,478.0,Bethnal Green,,None,1.0,1.0,1.0,60.0,328.0,1.0,2018.0,1.0,0.0,1.0,1.0,1,0,1,0,0,4235.26937558367,0,1,5,86,11,170,47,6,18,102
000090-01012018,2018-01-01,2018.0,01:23:38,1.0,Fire,Primary Fire,Standard,Road Vehicle,Car ,In street remote from gazetteer location,UB10 9LS,UB10,100021000000.0,21400945.0,E09000017,HILLINGDON,Hillingdon,E05013571,Hillingdon East,Hillingdon East,507466.0,184828.0,507450.0,184850.0,51.55211684,-0.451390504,London,Hillingdon,505.0,Hillingdon,,None,1.0,1.0,1.0,60.0,328.0,8.0,2018.0,1.0,0.0,1.0,1.0,1,0,1,0,0,23550.102988135925,0,1,8,21,16,309,41,41,18,228
000096-01012018,2018-01-01,2018.0,01:26:10,1.0,Fire,Primary Fire,Standard,Road Vehicle,Multiple Vehicles ,In street remote from gazetteer location,E3 4NE,E3,6651880.0,22702081.0,E09000030,TOWER HAMLETS,Tower Hamlets,E05009321,Bromley North,Bromley North,537156.0,182547.0,537150.0,182550.0,51.52519014,-0.024297108,London,Bethnal Green,390.0,Stratford,,None,1.0,1.0,1.0,60.0,328.0,9.0,2018.0,1.0,0.0,1.0,1.0,1,0,1,0,0,6881.975096731971,0,1,8,97,29,76,6,84,18,37
000105-01012018,2018-01-01,2018.0,01:28:23,1.0,Fire,Secondary Fire,Standard,Outdoor,Road surface/pavement ,In street outside gazetteer location,NW9 6RS,NW9,200102799.0,20039200.0,E09000003,BARNET,Barnet,E05013633,Colindale South,Colindale South,521243.0,189183.0,521250.0,189150.0,51.58846794,-0.251273017,London,Hendon,324.0,Hendon,,None,1.0,1.0,1.0,60.0,328.0,1.0,2018.0,1.0,0.0,1.0,1.0,1,0,1,0,0,12807.831500656739,0,1,5,162,1,149,39,39,18,135
000113-01012018,2018-01-01,2018.0,01:32:23,1.0,Fire,Secondary Fire,Standard,Outdoor Structure,Large refuse/rubbish container (eg skip/ paladin),Open land/water - nearest gazetteer location,IG11 0FG,IG11,10023599402.0,19904089.0,E09000002,BARKING AND DAGENHAM,Barking And dagenham,E05014055,Barking Riverside,Barking Riverside,546300.0,182470.0,546350.0,182450.0,51.52220508,0.107386382,London,Barking,527.0,Barking,,None,1.0,1.0,1.0,60.0,328.0,4.0,2018.0,1.0,0.0,1.0,1.0,1,0,1,0,0,15826.53229099057,0,1,6,77,0,26,2,2,18,85
000115-01012018,2018-01-01,2018.0,01:33:03,1.0,False Alarm,False alarm - Good intent,Standard,Dwelling,House - single occupancy ,Correct incident location,Unknown,UB7,0.0,21401637.0,E09000017,HILLINGDON,Hillingdon,E05013584,Yiewsley,Yiewsley,,,506350.0,180250.0,,,London,Hillingdon,364.0,Hayes,405.0,Heathrow,2.0,2.0,2.0,60.0,328.0,1.0,2018.0,1.0,0.0,1.0,1.0,1,0,1,0,0,,1,0,2,67,16,693,41,37,18,235
000117-01012018,2018-01-01,2018.0,01:34:13,1.0,Special Service,Special Service,Flooding,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,Unknown,SM6,0.0,22605230.0,E09000029,SUTTON,Sutton,E05013763,South Beddington & Roundshaw,South Beddington & Roundshaw,,,530050.0,163450.0,,,London,Wallington,339.0,Wallington,,None,1.0,1.0,1.0,60.0,328.0,1.0,2018.0,1.0,0.0,1.0,1.0,1,0,1,0,0,,0,2,2,149,28,529,90,91,5,182
